# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Mode               : 10 
# Magnetic field?      true
# Failing field?       false
# Point charge?        false
# Electric field?      true
# Magnetic strength  : 1.0E-5T 
# Electric strength  : 1.0E-5NC^-1 
# Phase              : 1.5707963267948966
# Algorithm          : 3
# Time-step          : 1.0E-6s 
# Number of Turns    : 10.0
# Number of particles: 10
# Spread in x        : 1.0439684858214945E-6m 
# Spread in y        : 1.0439684858214945E-6m 
# Spread in z        : 1.0439684858214945E-6m 
# Intial average v   : 0.1ms^-1 
# Intial v_sigma     : 1.0000000000000002E-6ms^-1 
# ----------------------------- 
Turn Num 	 deltaV 
100.0	2.2471498569226833
200.0	1.5942277683790316
300.0	1.8755077453744335
400.0	2.3831463669247706
500.0	3.1234761075104736
600.0	4.153886030563195
700.0	5.565586847202102
800.0	7.484972502702352
900.0	10.087991976063751
1000.0	13.611338195945322
1100.0	18.376661181854374
1200.0	24.818607481532638
1300.0	33.52522208831458
1400.0	45.291015394637014
1500.0	61.188812160281344
1600.0	82.6705556987269
1700.0	111.69398379405914
1800.0	150.90987769398072
1900.0	203.89465587989127
2000.0	275.48370954337634
2100.0	372.2091127916831
2200.0	502.89503590249274
2300.0	679.4671377697507
2400.0	918.036351846984
2500.0	1240.369321069837
2600.0	1675.8777692280692
2700.0	2264.2982246985484
2800.0	3059.32034859148
2900.0	4133.476759542269
3000.0	5584.797040395377
3100.0	7545.6858561191475
3200.0	10195.066128684302
3300.0	13774.675470038244
3400.0	18611.12804072044
3500.0	25145.716974281604
3600.0	33974.67809397595
3700.0	45903.59250527866
3800.0	62020.89108811415
3900.0	83797.16535086732
4000.0	113219.34912001953
4100.0	152972.01237643434
4200.0	206682.3096261531
4300.0	279250.93256454903
4400.0	377299.2641664967
4500.0	509773.5339081546
4600.0	688761.099090084
4700.0	930591.6894042036
4800.0	1257335.1687580594
4900.0	1698800.5362289287
5000.0	2295269.65728797
5100.0	3101166.197746454
5200.0	4190022.6213116106
5300.0	5661189.5163367465
5400.0	7648900.647188589
