# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Mode               : 9 
# Magnetic field?      true
# Failing field?       false
# Point charge?        false
# Electric field?      true
# Magnetic strength  : 1.0E-7T 
# Electric strength  : 1.0E-7NC^-1 
# Phase              : 1.5707963267948966
# Algorithm          : 3
# Time-step          : 1.0E-4s 
# Number of Turns    : 50.0
# Number of particles: 50
# Spread in x        : 1.0439684858214946m 
# Spread in y        : 1.0439684858214946m 
# Spread in z        : 1.0439684858214946m 
# Intial average v   : 1000.0ms^-1 
# Intial v_sigma     : 1.0E-5ms^-1 
# ----------------------------- 
v_sigma 	 delta_KE 
1.0E-5	36.25770091983096
1.2589254117941673E-5	36.25724348964089
1.5848931924611138E-5	36.257934772475146
1.9952623149688796E-5	36.25774387693902
2.51188643150958E-5	36.257808480182085
3.1622776601683795E-5	36.257890513164085
3.981071705534973E-5	36.25737547844195
5.011872336272724E-5	36.25798135327629
6.309573444801933E-5	36.257381117255406
7.943282347242815E-5	36.257556563846
9.999999999999999E-5	36.25795892991036
1.2589254117941674E-4	36.25792114278677
1.5848931924611142E-4	36.257202102500194
1.9952623149688798E-4	36.25766221433222
2.511886431509581E-4	36.25743723387884
3.1622776601683794E-4	36.25712668866067
3.9810717055349735E-4	36.25787964418027
5.011872336272725E-4	36.257664084753884
6.309573444801933E-4	36.25775407374722
7.943282347242816E-4	36.25761898090263
0.001	36.25748750278144
0.0012589254117941675	36.25816022902226
0.0015848931924611143	36.25812671265195
0.0019952623149688807	36.257857745101084
0.0025118864315095825	36.25721406021331
0.00316227766016838	36.2572132402056
0.003981071705534973	36.25755247315308
0.005011872336272725	36.25787416485921
0.006309573444801937	36.25750774486419
0.007943282347242822	36.25788336224191
0.01	36.257340487994206
0.012589254117941677	36.25722106941021
0.01584893192461114	36.25739497652594
0.01995262314968881	36.25769349424644
0.025118864315095822	36.257648625983286
0.0316227766016838	36.25723508301772
0.039810717055349734	36.2577561501272
0.05011872336272725	36.2578121414693
0.06309573444801936	36.25741333236382
0.07943282347242822	36.257650870551764
0.1	36.25733322632277
0.12589254117941687	36.25744633138996
0.15848931924611143	36.25739039099056
0.1995262314968879	36.25749996233988
0.25118864315095824	36.25742730766082
0.31622776601683794	36.25718194711532
0.39810717055349776	36.25763430302985
0.5011872336272726	36.257572674112595
0.6309573444801942	36.25759098759688
0.794328234724282	36.25839300518426
1.0	36.25754636593659
1.2589254117941688	36.25673482280679
1.584893192461114	36.25753511893926
1.9952623149688833	36.25661022995417
2.511886431509582	36.25824084433389
3.162277660168379	36.256645579782294
3.9810717055349776	36.25805189529641
5.011872336272725	36.25862119900785
6.309573444801942	36.25930852163121
7.943282347242823	36.25619936299992
10.0	36.258166700107594
12.589254117941687	36.26721087504186
15.848931924611142	36.26788185647068
19.95262314968883	36.26268246797472
25.118864315095824	36.26114915260618
31.6227766016838	36.25601276799574
39.81071705534978	36.25325597973664
50.118723362727245	36.27402086913497
63.09573444801943	36.23899852413463
79.43282347242823	36.24002913878375
100.0	36.24748288294945
125.89254117941687	36.22436480559733
158.48931924611142	36.31446570309824
199.52623149688827	36.138698231392695
251.18864315095823	36.295569119842256
316.22776601683796	36.14613087078903
398.1071705534978	36.1181423632133
501.18723362727246	36.04223714537528
