# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Mode               : 1 
# Magnetic field?      true
# Failing field?       false
# Point charge?        false
# Electric field?      true
# Magnetic strength  : 1.0E-7T 
# Electric strength  : 1.0E-7NC^-1 
# Phase              : 1.5707963267948966
# Algorithm          : 4
# Time-step          : 1.0E-6s 
# Number of Turns    : 10.0
# Number of particles: 10
# Spread in x        : 1.0439684858214948E-5m 
# Spread in y        : 1.0439684858214948E-5m 
# Spread in z        : 1.0439684858214948E-5m 
# Intial average v   : 0.1ms^-1 
# Intial v_sigma     : 1.0000000000000002E-6ms^-1 
# ----------------------------- 
x 	 y 	 z 
-2.888626937720862E-6	1.274414346197811E-6	-1.3315099962082068E-6
-2.8885630323832353E-6	1.9417206324995265E-6	-1.3315099962082068E-6
-2.888456500015997E-6	2.6094526392716045E-6	-1.3315099962082068E-6
-2.888307313433186E-6	3.2776103637813326E-6	-1.3315099962082068E-6
-2.8881154454490523E-6	3.946193803290336E-6	-1.3315099962082068E-6
-2.887880868877967E-6	4.615202955054583E-6	-1.3315099962082068E-6
-2.88760355653452E-6	5.284637816324377E-6	-1.3315099962082068E-6
-2.8872834812334545E-6	5.954498384344425E-6	-1.3315099962082068E-6
-2.88692061578972E-6	6.624784656353672E-6	-1.3315099962082068E-6
-2.8865149330184015E-6	7.2954966295855965E-6	-1.3315099962082068E-6
-2.886066405734786E-6	7.966634301267966E-6	-1.3315099962082068E-6
-2.885575006754344E-6	8.63819766862286E-6	-1.3315099962082068E-6
-2.8850407088927094E-6	9.310186728866809E-6	-1.3315099962082068E-6
-2.884463484965684E-6	9.982601479210522E-6	-1.3315099962082068E-6
-2.8838433077892627E-6	1.065544191685915E-5	-1.3315099962082068E-6
-2.883180150179618E-6	1.1328708039012544E-5	-1.3315099962082068E-6
-2.882473984953114E-6	1.20023998428644E-5	-1.3315099962082068E-6
-2.8817247849262678E-6	1.2676517325602939E-5	-1.3315099962082068E-6
-2.880932522915791E-6	1.3351060484410838E-5	-1.3315099962082068E-6
-2.8800971717385684E-6	1.4026029316465003E-5	-1.3315099962082068E-6
-2.879218704211685E-6	1.4701423818936825E-5	-1.3315099962082068E-6
-2.8782970931523816E-6	1.537724398899177E-5	-1.3315099962082068E-6
-2.877332311378093E-6	1.6053489823790473E-5	-1.3315099962082068E-6
-2.8763243317064184E-6	1.6730161320486836E-5	-1.3315099962082068E-6
-2.8752731269551655E-6	1.7407258476229902E-5	-1.3315099962082068E-6
-2.8741786699423178E-6	1.8084781288162443E-5	-1.3315099962082068E-6
-2.873040933486033E-6	1.8762729753422154E-5	-1.3315099962082068E-6
-2.8718598904046475E-6	1.944110386914098E-5	-1.3315099962082068E-6
-2.8706355135166897E-6	2.011990363244513E-5	-1.3315099962082068E-6
-2.8693677756408746E-6	2.0799129040455173E-5	-1.3315099962082068E-6
-2.8680566495961108E-6	2.147878009028568E-5	-1.3315099962082068E-6
-2.866702108201442E-6	2.2158856779046395E-5	-1.3315099962082068E-6
-2.865304124276153E-6	2.283935910384067E-5	-1.3315099962082068E-6
-2.8638626706396917E-6	2.352028706176643E-5	-1.3315099962082068E-6
-2.862377720111681E-6	2.420164064991599E-5	-1.3315099962082068E-6
-2.8608492455119565E-6	2.488341986537602E-5	-1.3315099962082068E-6
-2.8592772196605175E-6	2.556562470522761E-5	-1.3315099962082068E-6
-2.85766161537756E-6	2.6248255166546374E-5	-1.3315099962082068E-6
-2.856002405483469E-6	2.6931311246402068E-5	-1.3315099962082068E-6
-2.8542995627987993E-6	2.7614792941858574E-5	-1.3315099962082068E-6
-2.85255306014432E-6	2.829870024997505E-5	-1.3315099962082068E-6
-2.850762870340955E-6	2.8983033167803807E-5	-1.3315099962082068E-6
-2.8489289662098467E-6	2.9667791692391964E-5	-1.3315099962082068E-6
-2.8470513205723247E-6	3.035297582078144E-5	-1.3315099962082068E-6
-2.8451299062498814E-6	3.103858555000825E-5	-1.3315099962082068E-6
-2.8431646960642284E-6	3.172462087710224E-5	-1.3315099962082068E-6
-2.8411556628372466E-6	3.241108179908861E-5	-1.3315099962082068E-6
-2.839102779391004E-6	3.3097968312985945E-5	-1.3315099962082068E-6
-2.8370060185477827E-6	3.3785280415807764E-5	-1.3315099962082068E-6
-2.834865353130043E-6	3.4473018104561985E-5	-1.3315099962082068E-6
-2.8326807559604343E-6	3.516118137625005E-5	-1.3315099962082068E-6
-2.8304521998618113E-6	3.584977022786843E-5	-1.3315099962082068E-6
-2.828179657657192E-6	3.6538784656408385E-5	-1.3315099962082068E-6
-2.82586310216981E-6	3.722822465885492E-5	-1.3315099962082068E-6
-2.823502506223084E-6	3.7918090232187524E-5	-1.3315099962082068E-6
-2.8210978426406097E-6	3.860838137338002E-5	-1.3315099962082068E-6
-2.818649084246228E-6	3.9299098079401125E-5	-1.3315099962082068E-6
-2.8161562038639155E-6	3.999024034721273E-5	-1.3315099962082068E-6
-2.8136191743178715E-6	4.0681808173771515E-5	-1.3315099962082068E-6
-2.811037968432491E-6	4.1373801556029164E-5	-1.3315099962082068E-6
-2.808412559032346E-6	4.2066220490932E-5	-1.3315099962082068E-6
-2.8057429189422303E-6	4.275906497541945E-5	-1.3315099962082068E-6
-2.8030290209871143E-6	4.345233500642657E-5	-1.3315099962082068E-6
-2.8002708379921607E-6	4.414603058088174E-5	-1.3315099962082068E-6
-2.7974683427827385E-6	4.4840151695707574E-5	-1.3315099962082068E-6
-2.7946215081844092E-6	4.553469834782172E-5	-1.3315099962082068E-6
