# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Mode               : 1 
# Magnetic field?      true
# Failing field?       false
# Point charge?        false
# Electric field?      true
# Magnetic strength  : 1.0E-7T 
# Electric strength  : 1.0E-7NC^-1 
# Phase              : 1.5707963267948966
# Algorithm          : 4
# Time-step          : 1.0E-6s 
# Number of Turns    : 10.0
# Number of particles: 10
# Spread in x        : 1.0439684858214948E-5m 
# Spread in y        : 1.0439684858214948E-5m 
# Spread in z        : 1.0439684858214948E-5m 
# Intial average v   : 0.1ms^-1 
# Intial v_sigma     : 1.0000000000000002E-6ms^-1 
# ----------------------------- 
Spread in x 	 Spread in y 	 Spread in z 
7.237262053891925E-6	9.181201535678858E-6	9.493526677888017E-6
7.237263132188046E-6	9.181777316094472E-6	9.493526677888017E-6
7.2372649293287185E-6	9.182353049606363E-6	9.493526677888017E-6
7.237267445237032E-6	9.182928712572552E-6	9.493526677888017E-6
7.237270679799052E-6	9.183504281739423E-6	9.493526677888017E-6
7.2372746329052584E-6	9.184079733530297E-6	9.493526677888017E-6
1.0726315083929615E-5	1.1842669398611817E-5	9.493526677888017E-6
3.517709568794797E-5	4.419596561227104E-5	9.493526677888017E-6
7.397652975424732E-5	5.5512217543378026E-5	9.493526677888017E-6
1.118328054758172E-4	4.133140538770466E-5	9.493526677888017E-6
1.338258291492811E-4	7.242531039747084E-6	9.493526677888017E-6
1.3578836138137748E-4	4.894687964486022E-6	9.493526677888017E-6
1.3581419884528545E-4	5.3164336915988565E-6	9.493526677888017E-6
1.35837359102213E-4	5.738337006580552E-6	9.493526677888017E-6
1.358578411971116E-4	6.160380704519052E-6	9.493526677888017E-6
1.3587564429604765E-4	6.58254757488623E-6	9.493526677888017E-6
1.3589076767555122E-4	7.0048204019166786E-6	9.493526677888017E-6
1.3590321072303596E-4	7.4271819655540565E-6	9.493526677888017E-6
1.359129729301481E-4	7.84961504202565E-6	9.493526677888017E-6
1.3592005388988332E-4	8.272102404594873E-6	9.493526677888017E-6
1.359244533185068E-4	8.694626824653768E-6	9.493526677888017E-6
1.3592617103570445E-4	9.117171071731218E-6	9.493526677888017E-6
1.2990251233543915E-4	3.771523053382707E-5	9.493526677888017E-6
1.0042761271730413E-4	7.03383829342031E-5	9.493526677888017E-6
5.743470017307607E-5	7.885777684935903E-5	9.493526677888017E-6
1.7868340188333977E-5	5.9915702530595125E-5	9.493526677888017E-6
7.999297030113737E-6	2.097769241278134E-5	9.493526677888017E-6
8.849627302976826E-6	1.3196202696966457E-5	9.493526677888017E-6
8.87180710359021E-6	1.2111124378590523E-5	9.493526677888017E-6
8.88705730958111E-6	1.1025926547861829E-5	9.493526677888017E-6
8.895377299041919E-6	9.940653458416233E-6	9.493526677888017E-6
8.896766732538236E-6	8.855349367292172E-6	9.493526677888017E-6
8.891225553306304E-6	7.770058532467463E-6	9.493526677888017E-6
8.883257745462807E-6	7.01309958176677E-6	9.493526677888017E-6
8.878753987572347E-6	6.684825211539102E-6	9.493526677888017E-6
8.859352543914164E-6	5.599693659682467E-6	9.493526677888017E-6
8.833022013590822E-6	4.514708127941651E-6	9.493526677888017E-6
8.799763470606568E-6	3.4299128617465858E-6	9.493526677888017E-6
8.759578270881431E-6	2.345352098259056E-6	9.493526677888017E-6
8.712468053164769E-6	1.261070064764822E-6	9.493526677888017E-6
8.658434738576936E-6	1.7711097800832652E-7	9.493526677888017E-6
8.59748053054599E-6	9.663914478277424E-7	9.493526677888017E-6
8.529607914767746E-6	1.997948362217534E-6	9.493526677888017E-6
8.454819659048748E-6	3.0723866459200474E-6	9.493526677888017E-6
8.373118813215311E-6	4.154612071978307E-6	9.493526677888017E-6
8.284508708978212E-6	5.236293702737954E-6	9.493526677888017E-6
8.188992959798136E-6	6.317387427457453E-6	9.493526677888017E-6
8.08657546075498E-6	7.397849160393501E-6	9.493526677888017E-6
7.97726038840029E-6	8.477634840985777E-6	9.493526677888017E-6
7.861052200518415E-6	9.556700435974712E-6	9.493526677888017E-6
7.737955636025862E-6	1.0635001941457244E-5	9.493526677888017E-6
7.607975714712012E-6	1.1712495385114642E-5	9.493526677888017E-6
7.471117737100285E-6	1.278913682716367E-5	9.493526677888017E-6
7.3273872841676595E-6	1.38648823621697E-5	9.493526677888017E-6
7.176790217181526E-6	1.4939688122696032E-5	9.493526677888017E-6
7.0193326773783295E-6	1.601351027936314E-5	9.493526677888017E-6
6.8550210858099386E-6	1.7086305041693055E-5	9.493526677888017E-6
6.683862143026272E-6	1.815802866157333E-5	9.493526677888017E-6
6.505862828764701E-6	1.9228637434827022E-5	9.493526677888017E-6
6.321030401742507E-6	2.029808770256166E-5	9.493526677888017E-6
6.129372399327855E-6	2.136633585315148E-5	9.493526677888017E-6
5.9308966372165065E-6	2.2433338323654797E-5	9.493526677888017E-6
5.7256112091488755E-6	2.3499051603231304E-5	9.493526677888017E-6
5.5135244865476304E-6	2.4563432232101973E-5	9.493526677888017E-6
5.294645118188775E-6	2.562643680548134E-5	9.493526677888017E-6
5.0689820298474954E-6	2.6688021974698204E-5	9.493526677888017E-6
4.836544423930965E-6	2.7748144448912724E-5	9.493526677888017E-6
4.597341779128555E-6	2.8806760996900513E-5	9.493526677888017E-6
4.351383849978779E-6	2.9863828449038708E-5	9.493526677888017E-6
4.098680666517738E-6	3.0919303698276833E-5	9.493526677888017E-6
3.839242533829447E-6	3.197314370351412E-5	9.493526677888017E-6
3.573080031641729E-6	3.3025305489323186E-5	9.493526677888017E-6
1.12972771924945E-5	1.4372348982022443E-5	9.493526677888017E-6
1.1074413863903024E-5	3.360972042076339E-5	9.493526677888017E-6
2.3072629788083512E-5	7.19636974274105E-5	9.493526677888017E-6
6.908504064268017E-5	8.557332974958205E-5	9.493526677888017E-6
1.1414234268232806E-4	6.90747187712744E-5	9.493526677888017E-6
1.2679903371958304E-4	5.6010521787749293E-5	9.493526677888017E-6
1.270945983439173E-4	5.49180353058612E-5	9.493526677888017E-6
1.2738318050373523E-4	5.382368366987027E-5	9.493526677888017E-6
1.276647684107131E-4	5.272751150583438E-5	9.493526677888017E-6
1.2793935059224326E-4	5.162956351591567E-5	9.493526677888017E-6
1.2820691583459443E-4	5.052988447332454E-5	9.493526677888017E-6
1.2828736605388635E-4	5.019313176025763E-5	9.493526677888017E-6
1.2846745324771036E-4	4.942851922256278E-5	9.493526677888017E-6
1.28720952199516E-4	4.8325512676781476E-5	9.493526677888017E-6
1.2896740233692833E-4	4.7220909815929625E-5	9.493526677888017E-6
1.2920679365831245E-4	4.611475568466815E-5	9.493526677888017E-6
1.2943911637997366E-4	4.5007095392092294E-5	9.493526677888017E-6
1.2966436100820058E-4	4.3897974107461784E-5	9.493526677888017E-6
1.323792417413372E-4	4.058603196838541E-5	9.493526677888017E-6
1.452601420947157E-4	1.6802436231607917E-5	9.493526677888017E-6
1.4138705585114986E-4	1.0090482178730029E-5	9.493526677888017E-6
1.222864577090487E-4	2.9322515036411118E-5	9.493526677888017E-6
9.548636137549343E-5	3.337947954579288E-5	9.493526677888017E-6
7.868540634084573E-5	2.6288161907716255E-5	9.493526677888017E-6
7.846412244922989E-5	2.465333038110661E-5	9.493526677888017E-6
7.825328539359019E-5	2.3016719226814713E-5	9.493526677888017E-6
7.805290378230193E-5	2.1378795069746162E-5	9.493526677888017E-6
7.78629857831753E-5	1.9739624703291736E-5	9.493526677888017E-6
7.76835391476955E-5	1.8099274972019645E-5	9.493526677888017E-6
7.751457118948188E-5	1.6457812768706716E-5	9.493526677888017E-6
7.735608880462923E-5	1.4815305030931638E-5	9.493526677888017E-6
7.720809844714675E-5	1.3171818739449806E-5	9.493526677888017E-6
7.707060615912056E-5	1.1527420914678291E-5	9.493526677888017E-6
7.694361754204647E-5	9.882178614186319E-6	9.493526677888017E-6
7.682713777810296E-5	8.236158930053715E-6	9.493526677888017E-6
7.67211716167877E-5	6.5894289860007215E-6	9.493526677888017E-6
7.662572337556114E-5	4.942055934821588E-6	9.493526677888017E-6
7.654079695419355E-5	3.294106955333749E-6	9.493526677888017E-6
7.64663958094814E-5	1.6521953847953828E-6	9.493526677888017E-6
7.640252297840943E-5	2.783352179639689E-7	9.493526677888017E-6
7.634918106836676E-5	1.85023352521676E-6	9.493526677888017E-6
7.63063722484681E-5	3.422411441598316E-6	9.493526677888017E-6
7.627409826800602E-5	4.99480485457711E-6	9.493526677888017E-6
7.625236044343352E-5	6.601916779084546E-6	9.493526677888017E-6
7.624115965856448E-5	8.25201461819263E-6	9.493526677888017E-6
7.624049637385173E-5	9.902150338755796E-6	9.493526677888017E-6
7.625037061203838E-5	1.1552256648980809E-5	9.493526677888017E-6
7.627078197105022E-5	1.3202266258741346E-5	9.493526677888017E-6
7.630172962498367E-5	1.4852111881591664E-5	9.493526677888017E-6
7.634321230330643E-5	1.6501726237522908E-5	9.493526677888017E-6
7.639522832126894E-5	1.8151042056368102E-5	9.493526677888017E-6
7.641835874840509E-5	1.8793899453883103E-5	9.493526677888017E-6
7.645777555079832E-5	1.97999920798972E-5	9.493526677888017E-6
7.653085144550004E-5	2.144850906486968E-5	9.493526677888017E-6
7.661445302765187E-5	2.3096525785689696E-5	9.493526677888017E-6
7.670857688181487E-5	2.474397503698445E-5	9.493526677888017E-6
7.681321917868238E-5	2.6390789637139038E-5	9.493526677888017E-6
7.692837564124075E-5	2.8036902429473732E-5	9.493526677888017E-6
7.705404157489458E-5	2.968224628665454E-5	9.493526677888017E-6
7.719021186487589E-5	3.132675411273144E-5	9.493526677888017E-6
7.733688094664539E-5	3.2970358845454224E-5	9.493526677888017E-6
7.749404036567521E-5	3.46055911279999E-5	9.493526677888017E-6
8.723855416768646E-5	2.57582048017041E-5	9.493526677888017E-6
9.200926828892698E-5	7.066018838776042E-6	9.493526677888017E-6
8.467849130238368E-5	1.0845701338293642E-5	9.493526677888017E-6
6.813546043364649E-5	2.083163378077419E-5	9.493526677888017E-6
4.890019047663549E-5	1.898902639293023E-5	9.493526677888017E-6
4.745405941371586E-5	1.7865669430775725E-5	9.493526677888017E-6
4.728325854077772E-5	1.7266084570604365E-5	9.493526677888017E-6
4.7116289991152444E-5	1.6665421227766877E-5	9.493526677888017E-6
4.695316059513677E-5	1.6063703897012426E-5	9.493526677888017E-6
4.679387701041551E-5	1.5460957115789664E-5	9.493526677888017E-6
4.6638445714855536E-5	1.4857205464266949E-5	9.493526677888017E-6
4.64868730486942E-5	1.4252473562720625E-5	9.493526677888017E-6
4.633916519430556E-5	1.364678607192925E-5	9.493526677888017E-6
4.6195328190324486E-5	1.304016769142767E-5	9.493526677888017E-6
4.605536788684916E-5	1.2432643158773227E-5	9.493526677888017E-6
4.591928999886016E-5	1.1824237248550531E-5	9.493526677888017E-6
4.57871000665612E-5	1.121497477111298E-5	9.493526677888017E-6
4.565880348360307E-5	1.0604880571975846E-5	9.493526677888017E-6
4.5534405481550966E-5	9.993979530179974E-6	9.493526677888017E-6
4.541391114762719E-5	9.38229655825419E-6	9.493526677888017E-6
4.529732538087125E-5	8.76985660019778E-6	9.493526677888017E-6
4.518465292409693E-5	8.156684630880194E-6	9.493526677888017E-6
4.5075898392536035E-5	7.542805655124242E-6	9.493526677888017E-6
4.497106621862909E-5	6.92824470654947E-6	9.493526677888017E-6
4.487016066704458E-5	6.313026846620066E-6	9.493526677888017E-6
4.4773185872360594E-5	5.697177163588904E-6	9.493526677888017E-6
4.468014576501991E-5	5.0807207713731675E-6	9.493526677888017E-6
4.459104415144993E-5	4.463682808528266E-6	9.493526677888017E-6
4.450588450488971E-5	3.847176530211204E-6	9.493526677888017E-6
3.469569009774756E-5	1.5091389074022845E-5	9.493526677888017E-6
1.692812095663125E-5	2.028994058810756E-5	9.493526677888017E-6
5.342544658970896E-6	1.3873462165733385E-5	9.493526677888017E-6
1.540436836978791E-5	1.6291564945035072E-6	9.493526677888017E-6
1.6352958162184003E-5	6.408310147031169E-6	9.493526677888017E-6
1.6378048388027144E-5	4.076500710630394E-6	9.493526677888017E-6
1.641792816056871E-5	1.744899402440791E-6	9.493526677888017E-6
1.6472595838134055E-5	1.0892674183707752E-6	9.493526677888017E-6
1.6542049195850117E-5	3.2826166888258327E-6	9.493526677888017E-6
1.6626285384681652E-5	5.4732339148702005E-6	9.493526677888017E-6
2.3953393033574605E-5	1.4839109311838876E-5	9.493526677888017E-6
4.180634932039046E-5	2.1294361380668706E-5	9.493526677888017E-6
5.9924886402782165E-5	1.5738569482011844E-5	9.493526677888017E-6
7.116804128354422E-5	7.736252322554284E-7	9.493526677888017E-6
7.263084908327999E-5	1.1209256291535067E-5	9.493526677888017E-6
7.26108787538083E-5	1.3522734446511986E-5	9.493526677888017E-6
7.257500045631214E-5	1.6005780586006565E-5	9.493526677888017E-6
7.25230751630699E-5	1.8518513784948913E-5	9.493526677888017E-6
7.245510500553283E-5	2.1030864163774942E-5	9.493526677888017E-6
7.237109275461985E-5	2.354272926958866E-5	9.493526677888017E-6
7.227104183585818E-5	2.605400666999449E-5	9.493526677888017E-6
7.215495632687148E-5	2.8564593956516206E-5	9.493526677888017E-6
7.202284095778229E-5	3.1074388748825795E-5	9.493526677888017E-6
7.187470112029158E-5	3.358328869882798E-5	9.493526677888017E-6
7.171054286596833E-5	3.609119149463539E-5	9.493526677888017E-6
7.153037287768726E-5	3.8597994865638516E-5	9.493526677888017E-6
