# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Mode               : 1 
# Magnetic field?      true
# Failing field?       false
# Point charge?        false
# Electric field?      true
# Magnetic strength  : 1.0E-7T 
# Electric strength  : 1.0E-7NC^-1 
# Phase              : 1.5707963267948966
# Algorithm          : Runge-Kutta-Fehlbergy
# Time-step          : 1.0E-5s 
# Number of Turns    : 10.0
# Number of particles: 1
# Spread in x        : 0.0m 
# Spread in y        : 0.0m 
# Spread in z        : 0.0m 
# Intial average v   : 0.1ms^-1 
# Intial v_sigma     : 0.0ms^-1 
# ----------------------------- 
Time 	 KE 	 PE 	 E 	 L 
0.0	8.363109500000002E-30	8.363109500000003E-30	1.6726219000000003E-29	1.746164552294872E-30
1.9100406243376957	3.2292166777286594E-21	3.2081276723376832E-21	6.437344350066342E-21	6.698368376824814E-22
2.5210041632211104	3.2644503759970163E-21	3.3733811570515964E-21	6.637831533048613E-21	7.043407237251833E-22
3.218670320955656	3.3050045737346605E-21	3.2923018904652113E-21	6.597306464199872E-21	6.874118838912421E-22
3.82853298167528	3.3407120067566555E-21	3.4636374745932544E-21	6.80434948134991E-21	7.23185673957141E-22
4.524843116706151	3.3817750783793442E-21	3.3843472705151264E-21	6.76612234889447E-21	7.0663037909875685E-22
5.1335264647649055	3.417928109077196E-21	3.5630355958868E-21	6.980963704963997E-21	7.439393751932058E-22
5.828496422024412	3.4595006388392776E-21	3.485388779371237E-21	6.944889418210514E-21	7.277272092998836E-22
6.436013703773582	3.496099619211628E-21	3.6716708322577424E-21	7.16777045146937E-21	7.6662172783741245E-22
7.129658466398731	3.538181999806657E-21	3.596126745633529E-21	7.134308745440186E-21	7.508485986922428E-22
7.736022659524629	3.575227265687931E-21	3.789360476846121E-21	7.364587742534052E-21	7.911945838489723E-22
7.736022659524629	3.575227265687931E-21	3.789360476846121E-21	7.364587742534052E-21	7.911945838489723E-22

#Absolute change in energy: 7.364587725807833E-21J
#Percentage change: 4.403020028500065E10%
#Absolute change in angular momentum: 7.911945821028078E-22kgm^2s^-1
#Percentage change: 4.5310425129349434E10%
