# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Mode               : 1 
# Magnetic field?      true
# Failing field?       false
# Point charge?        false
# Electric field?      true
# Magnetic strength  : 1.0E-7T 
# Electric strength  : 1.0E-7NC^-1 
# Phase              : 1.5707963267948966
# Algorithm          : Runge-Kutta-Fehlbergy
# Time-step          : 0.001s 
# Number of Turns    : 100.0
# Number of particles: 10
# Spread in x        : 0.010439684858214946m 
# Spread in y        : 0.010439684858214946m 
# Spread in z        : 0.010439684858214946m 
# Intial average v   : 1000.0ms^-1 
# Intial v_sigma     : 0.1ms^-1 
# ----------------------------- 
Time 	 KE 	 PE 	 E 	 L 
0.0	8.363025995714728E-21	8.363116027771374E-21	1.6726142023486102E-20	1.746165915311095E-21
0.6558605488235485	8.366403346377028E-21	8.36640324702245E-21	1.673280659339948E-20	1.7468522659719174E-21
1.3113859306916176	8.369713466223408E-21	8.369735789389503E-21	1.673944925561291E-20	1.7475480798136912E-21
1.967132923574517	8.373077293436135E-21	8.373088561129799E-21	1.6746165854565936E-20	1.748248117421095E-21
2.6228799164567924	8.376436405136025E-21	8.376441215270389E-21	1.6752877620406414E-20	1.7489481304744224E-21
3.278626909339035	8.37979816021532E-21	8.379791746414314E-21	1.6759589906629636E-20	1.7496477002594275E-21
3.934152291206447	8.38311649249875E-21	8.383127662415101E-21	1.6766244154913852E-20	1.7503442184946613E-21
4.589899284089872	8.386482621008924E-21	8.386482721685585E-21	1.6772965342694508E-20	1.7510447337239502E-21
5.245646276973428	8.389845782096803E-21	8.389836537502867E-21	1.677968231959967E-20	1.7517449893280494E-21
5.901393269856984	8.393192862796408E-21	8.393181998621558E-21	1.6786374861417965E-20	1.75244350052374E-21
6.55691865172571	8.396524884480287E-21	8.396525765749878E-21	1.6793050650230165E-20	1.7531416580249187E-21
7.212665644609267	8.399875443913918E-21	8.39987403011747E-21	1.6799749474031388E-20	1.753840754521311E-21
7.868412637492823	8.40324048405977E-21	8.403229714710015E-21	1.6806470198769786E-20	1.754541400313906E-21
8.524159630374278	8.406588024051154E-21	8.40657496219595E-21	1.6813162986247103E-20	1.7552398669044244E-21
9.179685012240377	8.409921750328726E-21	8.409920437128454E-21	1.6819842187457178E-20	1.7559383809843522E-21
9.835432005121305	8.413265517715948E-21	8.413260237854502E-21	1.682652575557045E-20	1.756635710325736E-21
10.491178998002233	8.41663331559822E-21	8.416618069986849E-21	1.683325138558507E-20	1.7573368045111053E-21
11.146704379868332	8.419948589056121E-21	8.41995482964145E-21	1.6839903418697573E-20	1.758033498895938E-21
11.80245137274926	8.423319314804876E-21	8.42331445799187E-21	1.6846633772796747E-20	1.7587349681203205E-21
12.458198365630189	8.426666166751097E-21	8.426660315146828E-21	1.6853326481897923E-20	1.7594335620058876E-21
13.113945358511117	8.43002736181317E-21	8.430017264661075E-21	1.6860044626474244E-20	1.7601344719061616E-21
13.769470740377216	8.433343770399135E-21	8.433355161208611E-21	1.6866698931607744E-20	1.760831403667073E-21
14.425217733258144	8.436707757844834E-21	8.436711959169323E-21	1.6873419717014155E-20	1.7615322819239233E-21
15.080964726139072	8.440064829631966E-21	8.440065352040521E-21	1.6880130181672487E-20	1.7622324492195455E-21
15.73671171902	8.443409051429529E-21	8.443404015651183E-21	1.6886813067080713E-20	1.7629295411384035E-21
16.3922371008861	8.446728220590015E-21	8.446743699586517E-21	1.6893471920176534E-20	1.7636268460946226E-21
17.047984093767028	8.450069482147073E-21	8.450077768511729E-21	1.6900147250658802E-20	1.7643229786721178E-21
17.703731086647956	8.453439792856411E-21	8.453438093299326E-21	1.6906877886155736E-20	1.765024593308193E-21
18.359478079528884	8.45677516210289E-21	8.456763179014073E-21	1.6913538341116963E-20	1.765718850247964E-21
19.015003461394983	8.460106487430241E-21	8.460109177947263E-21	1.6920215665377504E-20	1.7664174737359315E-21
19.67075045427591	8.463440334036172E-21	8.463431905414673E-21	1.6926872239450844E-20	1.7671112382885216E-21
20.32649744715684	8.466805438942894E-21	8.466790088408129E-21	1.6933595527351023E-20	1.7678124057314795E-21
20.982022829022938	8.4701080211288E-21	8.470106556559287E-21	1.6940214577688088E-20	1.768504863378287E-21
21.637769821903866	8.473473152065814E-21	8.473464485005201E-21	1.6946937637071016E-20	1.7692059776733236E-21
22.293516814784795	8.476807088608656E-21	8.476787295165488E-21	1.6953594383774145E-20	1.7698997594916646E-21
22.949263807665723	8.4801596126664E-21	8.48013807392666E-21	1.696029768659306E-20	1.7705993809775895E-21
23.60478918953182	8.483475388087073E-21	8.48347437224994E-21	1.6966949760337014E-20	1.77129597903935E-21
24.26053618241275	8.486826650020298E-21	8.486823333968174E-21	1.697364998398847E-20	1.771995221138162E-21
24.916283175293678	8.490171111592014E-21	8.490162942642112E-21	1.6980334054234127E-20	1.7726925103802753E-21
25.572030168174607	8.493508015989267E-21	8.493490443181086E-21	1.6986998459170354E-20	1.7733872715201245E-21
26.227555550040705	8.496825288822611E-21	8.496829180807053E-21	1.6993654469629664E-20	1.7740843788929115E-21
26.883302542921633	8.500158427251003E-21	8.500151188886566E-21	1.700030961613757E-20	1.7747779932418423E-21
27.53904953580256	8.503510987406272E-21	8.503502321341299E-21	1.700701330874757E-20	1.7754776885767534E-21
28.19479652868349	8.506847240800425E-21	8.506829166942617E-21	1.7013676407743043E-20	1.7761723129697473E-21
28.85032191054959	8.510161835280191E-21	8.510166198217047E-21	1.7020328033497238E-20	1.7768690640670883E-21
29.506068903430517	8.513494161127241E-21	8.513487391436056E-21	1.7026981552563298E-20	1.7775625082782826E-21
30.161815896311445	8.516838884083798E-21	8.516836866034441E-21	1.703367575011824E-20	1.778261857463237E-21
30.817341278177544	8.520137656419649E-21	8.520148662189847E-21	1.7040286318609497E-20	1.7789533396267777E-21
31.473088271058472	8.523474990970046E-21	8.523491469169044E-21	1.704696646013909E-20	1.7796512966548714E-21
32.1288352639394	8.526806179016061E-21	8.526811525533085E-21	1.7053617704549147E-20	1.7803445034979137E-21
32.78458225682033	8.530142205809245E-21	8.530139100392983E-21	1.706028130620223E-20	1.7810392801555026E-21
33.44010763868643	8.533437910929936E-21	8.533446932133978E-21	1.7066884843063913E-20	1.7817299345743022E-21
34.095854631567356	8.536769764072604E-21	8.536768633565415E-21	1.707353839763802E-20	1.782423484897049E-21
34.751601624448284	8.540100585099214E-21	8.540087770591654E-21	1.708018835569087E-20	1.7831164997881515E-21
35.40734861732921	8.543433138493536E-21	8.543410908927472E-21	1.708684404742101E-20	1.783810350127476E-21
36.06287399919531	8.54673826745395E-21	8.546733676353948E-21	1.70934719438079E-20	1.7845041230232665E-21
36.71862099207624	8.550066440526771E-21	8.550050713700266E-21	1.7100117154227037E-20	1.785196699514436E-21
37.37436798495717	8.553383932645446E-21	8.553368279003177E-21	1.7106752211648623E-20	1.785889386239615E-21
38.030114977838096	8.556714602184018E-21	8.556689532064158E-21	1.7113404134248176E-20	1.786582842945436E-21
38.685640359704195	8.560003843899652E-21	8.560009046994221E-21	1.712001289089387E-20	1.7872759367404752E-21
39.34138735258512	8.563329969376568E-21	8.563324039897955E-21	1.7126654009274523E-20	1.7879680863649193E-21
39.99713434546605	8.566642391722612E-21	8.566637130764799E-21	1.713327952248741E-20	1.7886598388560485E-21
40.65265972733215	8.569935308745931E-21	8.569943491215768E-21	1.7139878799961697E-20	1.789350186078765E-21
41.30840672021308	8.573245992074682E-21	8.5732556479032E-21	1.714650163997788E-20	1.7900417435191205E-21
41.96415371309401	8.57657154812685E-21	8.576569171079534E-21	1.7153140719206384E-20	1.7907335862737478E-21
42.619900705974935	8.5798846788949E-21	8.579879482316976E-21	1.7159764161211875E-20	1.7914247583957775E-21
43.27542608784103	8.58317508703721E-21	8.583183324904996E-21	1.7166358411942208E-20	1.7921145799045786E-21
43.93117308072196	8.58647920962134E-21	8.586485002933314E-21	1.7172964212554653E-20	1.792803949466958E-21
44.58692007360289	8.589789776204324E-21	8.589791497982045E-21	1.7179581274186367E-20	1.7934943247928384E-21
45.24266706648382	8.593113278245089E-21	8.59310558880227E-21	1.718621886704736E-20	1.794186286067931E-21
45.89819244834992	8.5963873293099E-21	8.596398061784944E-21	1.7192785391094844E-20	1.7948737336747968E-21
46.553939441230845	8.599694288589218E-21	8.599699678827513E-21	1.719939396741673E-20	1.7955630905037356E-21
47.209686434111774	8.60298774954204E-21	8.602985845117612E-21	1.720597359465965E-20	1.796249221312942E-21
47.8654334269927	8.60630812541025E-21	8.606296811192267E-21	1.7212604936602517E-20	1.796940530160855E-21
48.5209588088588	8.609562021096279E-21	8.609568444122741E-21	1.721913046521902E-20	1.7976236264961725E-21
49.17670580173973	8.61287843816453E-21	8.612873141142674E-21	1.7225751579307204E-20	1.7983136264049725E-21
49.83245279462066	8.61616092091199E-21	8.616144505900502E-21	1.723230542681249E-20	1.7989966667475322E-21
50.487978176486756	8.619442425063841E-21	8.61943941114309E-21	1.723888183620693E-20	1.7996846221949377E-21
51.143725169367684	8.622733557548795E-21	8.622728097038158E-21	1.724546165458695E-20	1.8003712790817816E-21
51.79947216224861	8.626040824629323E-21	8.626026719683791E-21	1.7252067544313114E-20	1.8010600106995135E-21
52.45521915512954	8.629329979857866E-21	8.629311110406704E-21	1.725864109026457E-20	1.801745770781482E-21
53.11074453699564	8.632599923009096E-21	8.632598358139877E-21	1.7265198281148973E-20	1.8024321273891865E-21
53.76649152987657	8.635889085658545E-21	8.6358860025142E-21	1.7271775088172745E-20	1.803118566813063E-21
54.422238522757496	8.63917985268786E-21	8.63917330306512E-21	1.7278353155752982E-20	1.8038049344487793E-21
55.077985515638424	8.642470857992526E-21	8.642462363512048E-21	1.7284933221504572E-20	1.8044916695396905E-21
55.73351089750452	8.645723063336675E-21	8.64573675180712E-21	1.7291459815143796E-20	1.80517534117777E-21
56.38925789038545	8.649008355885631E-21	8.649020369388408E-21	1.7298028725274037E-20	1.8058609398326414E-21
57.04500488326638	8.652279620930908E-21	8.6522805397555E-21	1.7304560160686408E-20	1.806541642856972E-21
57.70075187614731	8.655575654759112E-21	8.655571845951435E-21	1.7311147500710547E-20	1.807228846846121E-21
58.35627725801341	8.658805333513011E-21	8.658814597135594E-21	1.7317619930648606E-20	1.8079059128548455E-21
59.012024250894335	8.662092643484637E-21	8.662096960048389E-21	1.7324189603533026E-20	1.8085912495428424E-21
59.66777124377526	8.665359340054456E-21	8.665352569391725E-21	1.733071190944618E-20	1.8092710002541607E-21
60.32329662564136	8.668622799571109E-21	8.668630354501529E-21	1.7337253154072638E-20	1.809955381125746E-21
60.97904361852229	8.671881002789857E-21	8.671877851055496E-21	1.7343758853845353E-20	1.8106334379377776E-21
61.63479061140322	8.675162377507082E-21	8.675157519565631E-21	1.7350319897072714E-20	1.811318212051482E-21
62.29053760428415	8.678424183343226E-21	8.678408246317803E-21	1.7356832429661028E-20	1.811996943308539E-21
62.946062986150245	8.681665128192749E-21	8.681672280799025E-21	1.7363337408991776E-20	1.812678453135545E-21
63.601809979031174	8.684929128290812E-21	8.684931011630147E-21	1.7369860139920957E-20	1.813358855593838E-21
64.25755697192037	8.688188525867273E-21	8.688180291677812E-21	1.7376368817545084E-20	1.8140372847881125E-21
64.91330396482232	8.691448622272759E-21	8.691431367380122E-21	1.738287998965288E-20	1.814716088903758E-21
65.56882934670944	8.694666771357678E-21	8.694663807664035E-21	1.7389330579021714E-20	1.8153910020615E-21
65.56882934670944	8.694666771357678E-21	8.694663807664035E-21	1.7389330579021714E-20	1.8153910020615E-21

#Absolute change in energy: 6.631885555356128E-22J
#Percentage change: 3.964982209312782%
#Absolute change in angular momentum: 6.92250867504048E-23kgm^2s^-1
#Percentage change: 3.9644048794797215%
