# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Mode               : 1 
# Magnetic field?      true
# Failing field?       false
# Point charge?        false
# Electric field?      true
# Magnetic strength  : 1.0E-7T 
# Electric strength  : 1.0E-7NC^-1 
# Phase              : 1.5707963267948966
# Algorithm          : Velocity Verlet
# Time-step          : 0.001s 
# Number of Turns    : 100.0
# Number of particles: 10
# Spread in x        : 0.010439684858214946m 
# Spread in y        : 0.010439684858214946m 
# Spread in z        : 0.010439684858214946m 
# Intial average v   : 1000.0ms^-1 
# Intial v_sigma     : 0.1ms^-1 
# ----------------------------- 
Turn Num 	 deltaV 
1.0	30.764918683575388
2.0	31.695122457152593
3.0	32.63435239413229
4.0	33.63137644009271
5.0	34.65886084380713
6.0	35.717736210208614
7.0	36.80896157546658
8.0	37.917845787940905
9.0	39.07240306782023
10.0	40.266118432703024
11.0	41.496303347499406
12.0	42.754364196389815
13.0	44.060567879962946
14.0	45.3968198943262
15.0	46.783754330251895
16.0	48.19377470366658
17.0	49.66615971585384
18.0	51.18352802607319
19.0	52.74725393462995
20.0	54.35875372854548
21.0	56.009624561494775
22.0	57.7207943116
23.0	59.48424255875034
24.0	61.29184717538783
25.0	63.16439597362887
26.0	65.0941536198593
27.0	67.08189608710882
28.0	69.12259182143043
29.0	71.10483918858017
30.0	73.39715196376847
31.0	75.6395338600114
32.0	77.950423510777
33.0	80.33191392016761
34.0	82.78616203638876
35.0	85.30566973433952
36.0	87.91187284904345
37.0	90.59769895000181
38.0	93.3655806266188
39.0	96.20815690021755
40.0	99.14744570569655
41.0	102.17653371748611
42.0	105.29816442220863
43.0	108.51516512369017
44.0	111.83044950369504
45.0	115.24702026089199
46.0	118.7679718304289
47.0	122.39649318661395
48.0	126.12614829813265
49.0	129.9794718976309
50.0	133.95051970047007
51.0	138.0380992087148
52.0	142.25041488173065
53.0	146.5963565618713
54.0	151.07507259459544
55.0	155.69061941509244
56.0	160.44717738808322
57.0	165.08846155112224
58.0	170.39287383721512
59.0	175.5986054263667
60.0	180.9633791070146
61.0	186.49205382910986
62.0	192.18963699008873
63.0	198.06128897008512
64.0	204.10260489097527
65.0	210.3382141188995
66.0	216.75954028837077
67.0	223.3769014239624
68.0	230.2013664058668
69.0	237.2343279708184
70.0	244.482155970064
71.0	251.9514148623657
72.0	259.64886965953883
73.0	267.58149205363225
74.0	275.7564667312454
75.0	284.1811978808473
76.0	292.86331589881956
77.0	301.81068430039704
78.0	311.031406841852
79.0	320.5338348600544
80.0	330.32657483649746
81.0	340.4184961922492
82.0	350.8187393211374
83.0	361.52700038521834
84.0	372.56255861063255
85.0	383.94484623020253
86.0	395.06260788017244
87.0	407.7445724655572
88.0	420.2017179619379
89.0	433.0491699413833
90.0	446.279404940582
91.0	459.92342009424465
92.0	473.97469958125475
93.0	488.45526456147127
94.0	503.37823028446655
95.0	518.7571126883995
96.0	534.605840641525
97.0	550.9387685577531
98.0	567.7706893976792
99.0	585.1168480667438
100.0	602.9929552227804
