# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Mode               : 1 
# Magnetic field?      true
# Failing field?       false
# Point charge?        false
# Electric field?      true
# Magnetic strength  : 1.0E-7T 
# Electric strength  : 1.0E-7NC^-1 
# Phase              : 1.5707963267948966
# Algorithm          : Velocity Verlet
# Time-step          : 1.0E-4s 
# Number of Turns    : 100.0
# Number of particles: 10
# Spread in x        : 0.010439684858214946m 
# Spread in y        : 0.010439684858214946m 
# Spread in z        : 0.010439684858214946m 
# Intial average v   : 1000.0ms^-1 
# Intial v_sigma     : 0.1ms^-1 
# ----------------------------- 
Turn Num 	 deltaV 
1.0	3.2144686373127342
2.0	3.2222571280969987
3.0	3.2329110037090913
4.0	3.2399881446309564
5.0	3.251368075834421
6.0	3.258879665307859
7.0	3.268597869531959
8.0	3.2775938228930954
9.0	3.2879457191379515
10.0	3.295464330664572
11.0	3.305110765033305
12.0	3.3153590437043476
13.0	3.3240084955032216
14.0	3.3341251326253314
15.0	3.3421597712626863
16.0	3.3540561976760728
17.0	3.3608075229237784
18.0	3.372667742953354
19.0	3.3807166614058133
20.0	3.3898526037673946
21.0	3.401422277403526
22.0	3.409170824237208
23.0	3.4209921040678637
24.0	3.4285083975066755
25.0	3.4398188263389784
26.0	3.449206835172845
27.0	3.4591461785128104
28.0	3.4679191050115605
29.0	3.479546118809594
30.0	3.4876115326640047
31.0	3.497643785534592
32.0	3.5087914742732664
33.0	3.517992579955944
34.0	3.528916137567876
35.0	3.5376022857117277
36.0	3.5502150956488094
37.0	3.5575253593281104
38.0	3.5695312364887286
39.0	3.578620496393796
40.0	3.5884481707721534
41.0	3.6001693082455404
42.0	3.6088679223232702
43.0	3.6213233681478414
44.0	3.6294106999812357
45.0	3.641837020492858
46.0	3.6513233785799457
47.0	3.6619040346449765
48.0	3.6715426377279528
49.0	3.6840075254822295
50.0	3.6926552383545186
51.0	3.703210813725036
52.0	3.7153930351087183
53.0	3.7248009457534863
54.0	3.7359977994083238
55.0	3.746135707630174
56.0	3.7585494461945927
57.0	3.766931630241288
58.0	3.780082516425182
59.0	3.789197236209475
60.0	3.7996586893877975
61.0	3.8122431920830877
62.0	3.8225979617118355
63.0	3.8346796446912776
64.0	3.8434716117390053
65.0	3.8573432596433577
66.0	3.8660080034233033
67.0	3.8782261529265725
68.0	3.88934607094734
69.0	3.901159954126797
70.0	3.9106192604451735
71.0	3.922215598655157
72.0	3.935091005138929
73.0	3.9444562844764732
74.0	3.9583615456604093
75.0	3.968272264394045
76.0	3.98024091694424
77.0	3.9910765254858234
78.0	4.00388442335111
79.0	4.013444643729599
80.0	4.025350501254934
81.0	4.039223974590641
82.0	4.048886514282458
83.0	4.061590868384428
84.0	4.072753577734602
85.0	4.08524578018978
86.0	4.095517782326397
87.0	4.10990313895536
88.0	4.119766014491688
89.0	4.133174290857596
90.0	4.1439675462586365
91.0	4.155210890600301
92.0	4.168539808874812
93.0	4.180295389790899
94.0	4.193511870215843
95.0	4.203613283666527
96.0	4.218629761150851
97.0	4.228324989592693
98.0	4.241405541918539
99.0	4.253562433245179
100.0	4.265422944972897
