# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Time               : 06_04_2019--at--13-13
# ---------------------------- 
# Mode               : 1 
# Magnetic field?    : false
# Failing field?     : false
# Point charge?      : false
# Cyclotron Set-up?  : true
# Magnetic strength  : 1.0E-7T 
# Electric strength  : 1.0E-7NC^-1 
# Phase              : 1.5707963267948966
# Algorithm          : Runge-Kutta-Fehlbergy
# Time-step          : 1.0E-4s 
# Tolerence          : 0.01% 
# Number of Turns    : 10.0
# Number of particles: 100
# Spread in x        : 1.0439684858214948E-5m 
# Spread in y        : 1.0439684858214948E-5m 
# Spread in z        : 1.0439684858214948E-5m 
# Intial average v   : 0.1ms^-1 
# Intial v_sigma     : 0.010000000000000002ms^-1 
# ----------------------------- 
Time 	 KE 	 PE 	 E 	 L 
0.0	8.405182278382616E-28	8.369840159881659E-28	1.6775022438264272E-27	1.7475698734826708E-28
0.6563503632780219	4.396974768191377E-27	4.1349140181325465E-27	8.531888786323923E-27	8.633439854987926E-28
1.3117930245365383	7.730729692349232E-27	7.431289983555395E-27	1.5162019675904628E-26	1.5516065105653692E-27
1.9681856026953892	1.1593992594054154E-26	1.101839389292178E-26	2.2612386486975932E-26	2.300571197918269E-27
2.6236282639538655	1.5030313335123663E-26	1.4411554536537325E-26	2.944186787166099E-26	3.0090417537648132E-27
3.279070925212342	1.8474229924415715E-26	1.78024573246423E-26	3.6276687249058017E-26	3.717040883616699E-27
3.934513586470818	2.1543965553844091E-26	2.0866879638947903E-26	4.2410845192792E-26	4.3568729482942746E-27
4.590906164629669	2.533112608519932E-26	2.4326087813004698E-26	4.9657213898204015E-26	5.0791338122192714E-27
5.246348825888146	2.870308865371087E-26	2.7683579187202935E-26	5.638666784091381E-26	5.780156849435082E-27
5.901791487146622	3.152575984977722E-26	3.054391004124283E-26	6.206966989102004E-26	6.3773759035650465E-27
6.557234148405098	3.485703377864251E-26	3.3958562930546605E-26	6.881559670918912E-26	7.090333904851851E-27
6.557234148405098	3.485703377864251E-26	3.3958562930546605E-26	6.881559670918912E-26	7.090333904851851E-27

#Absolute change in energy: 6.713809446536269E-26J
#Percentage change: 4002.265553589896%
#Absolute change in angular momentum: 6.915576917503584E-27kgm^2s^-1
#Percentage change: 3957.2534537470437%
