# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Time               : 08_04_2019--at--16-29
# ---------------------------- 
# Mode               : 7 
# Magnetic field?    : false
# Failing field?     : false
# Point charge?      : false
# Cyclotron Set-up?  : true
# Magnetic strength  : 1.0E-7T 
# Electric strength  : 1.0E-7NC^-1 
# Phase              : 0.0
# Algorithm          : Heun's
# Time-step          : 1.0E-5s 
# Number of Turns    : 100.0
# Number of particles: 1
# Spread in x        : 0.0m 
# Spread in y        : 0.0m 
# Spread in z        : 0.0m 
# Intial average v   : 0.1ms^-1 
# Intial v_sigma     : 0.0ms^-1 
# ----------------------------- 
phi 	 deltaKE 	 expected-dKE 
0.0	912.1748662883015	922.0743377828967
0.02	2737.7050436380882	2743.6752943407155
0.04	5150.832766932605	5153.868959865767
0.06	7602.301043032914	7607.417264988986
0.08	10040.94297829635	10047.407001371848
0.1	12451.61977890929	12456.075751019844
0.12	14815.160823745442	14818.444453733033
0.14	17120.6641131575	17123.347263624888
0.16	19347.652955319343	19361.30490937379
0.18	21525.036107452295	21524.7405114002
0.2	23596.092803895805	23601.805482202675
0.22	25577.914223321724	25585.295806317317
0.24	27456.980738247297	27467.565676731516
0.26	29251.525904976108	29241.30115943243
0.28	30902.77416093296	30899.213112295496
0.3	32443.499557338735	32434.616632647885
0.32	33845.7755492311	33842.09667587666
0.3400000000000001	35100.779231548426	35115.04234591835
0.36	36236.08692942631	36248.98378644894
0.37999999999999995	37258.158933233404	37239.684522800795
0.4	38106.876793879084	38083.57409369635
0.42	38760.94251007835	38776.53461600339
0.44	39296.32038919146	39316.484487607886
0.46	39704.8132947594	39701.19016792715
0.48	39952.5792539204	39929.28515763951
0.5	40017.76156441316	39999.77535059387
0.52	39901.20607637307	39912.541271558315
0.54	39655.74898762031	39667.82145815928
0.56	39271.99708334915	39266.99014811368
0.58	38694.751327197824	38711.66030081757
0.6	37991.90927639941	38003.44697050584
0.62	37132.704777135456	37145.79958527025
0.64	36149.40158881049	36142.08053789731
0.66	34993.371817313484	34996.65861516711
0.6800000000000002	33715.69473257995	33713.87212003283
0.7	32313.974497125837	32298.56153977267
0.72	30761.334884413067	30757.54439038634
0.7400000000000001	29107.986747224713	29094.719855931446
0.7599999999999999	27322.386667555485	27319.135458911307
0.78	25444.011396642178	25436.630492236953
0.8	23456.811672266904	23455.304122909416
0.8200000000000001	21381.330485310544	21382.401564646476
0.84	19242.587864042922	19227.193447439873
0.86	17005.61931729525	16998.048943207967
0.88	14714.998208639514	14705.329525330733
0.9	12361.720063831437	12357.238993443696
0.92	9969.433663367054	9965.75364359975
0.9400000000000001	7546.501578490991	7543.650748454176
0.96	5115.95554357342	5111.503000648912
0.98	2728.5013849021348	2724.803272309446
1.0	934.1742416450744	934.9805213575846
1.02	2499.0127530028103	2520.8085848472483
1.04	16208.921522752791	16283.867899747964
1.06	6007.757848986016	6038.057572775959
1.08	16231.66276281851	16306.528767325304
1.1	13667.765383918351	13790.566399251995
1.12	23073.15338968636	23383.20027802053
1.1400000000000001	23182.159218499535	23502.24865403815
1.16	23465.114740308076	23793.935962623535
1.18	24109.90931947012	24205.013979668092
1.2	24580.657679217664	24707.779841450367
1.22	25114.999005181533	25241.5473450723
1.24	25608.513534819685	25757.43863098273
1.26	26058.936685204128	26209.213773678748
1.28	26443.229642252907	26580.813416420388
1.3	26638.65052467894	26798.818640935853
1.32	26620.42437031219	26759.946257031235
1.34	26169.995149054004	26335.951174345395
1.3600000000000003	25086.315845048062	25240.47554651675
1.3800000000000001	23047.155772936432	23200.041485162947
1.4	19240.894701982175	19396.521943188633
1.42	12403.142672454687	12537.178346029736
1.44	36366.40797001016	36567.40672006528
1.46	6977.516302880465	7093.149728572899
1.4800000000000002	39426.019552919075	39608.45061406268
1.5	38965.95269176212	39176.438558223956
1.5199999999999998	21353.69214787236	21502.330001393348
1.54	10036.378296765994	10178.383165470232
1.56	25510.360132882222	25671.364114272685
1.58	34096.59567060112	34290.57494738763
1.6	38098.85560935882	38249.60030130591
1.62	39584.102645174615	39771.19134141635
1.6400000000000001	39780.41154792432	39954.29642407267
1.6600000000000001	39132.34720800978	39301.3934913725
1.68	37919.57857530975	38069.154827876344
1.7	36209.51113514121	36379.08501793958
1.72	34149.7746059721	34324.264650559766
1.74	31779.39421383742	31934.107253300146
1.76	29089.794567400473	29214.222447976506
1.78	26020.060702496063	26136.272192185163
1.8	22562.608740450003	22686.290070775944
1.82	18611.618676645332	18715.040037537612
1.84	13817.22335929276	14062.07608474473
1.8600000000000003	8071.141897521858	8241.90438061683
1.8800000000000001	11393.730731549378	11499.066617918768
1.9	21251.28400311954	21494.800201510574
1.92	10589.041390989756	10713.901987318235
1.94	15660.080727044366	15719.872012194071
1.96	4147.856487655631	4193.559988803513
1.9800000000000002	2501.7937223999697	2532.401803363463
2.0	912.1748662877887	922.0743377817369
