# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Mode               : 9 
# Magnetic field?      true
# Failing field?       false
# Point charge?        false
# Electric field?      true
# Magnetic strength  : 1.0E-7T 
# Electric strength  : 1.0E-7NC^-1 
# Phase              : 1.5707963267948966
# Algorithm          : 3
# Time-step          : 1.0E-5s 
# Number of Turns    : 50.0
# Number of particles: 50
# Spread in x        : 1.0439684858214946m 
# Spread in y        : 1.0439684858214946m 
# Spread in z        : 1.0439684858214946m 
# Intial average v   : 1000.0ms^-1 
# Intial v_sigma     : 0.1ms^-1 
# ----------------------------- 
v_sigma 	 delta_KE 
0.1	2.1261153742303015E-21
0.12589254117941676	1.9654709782054076E-21
0.15848931924611137	1.2876995948977076E-21
0.19952623149688797	1.2773893956058462E-21
0.251188643150958	1.2774536401063584E-21
0.316227766016838	1.2774915300344307E-21
0.39810717055349737	1.2774736882287185E-21
0.5011872336272725	1.2773897221657813E-21
0.6309573444801935	1.2773267618424587E-21
0.7943282347242816	1.277353581251157E-21
1.0	1.2772230486186107E-21
1.2589254117941675	1.2775879806963958E-21
1.5848931924611143	1.2776919098661741E-21
1.9952623149688797	1.2769228049817255E-21
2.511886431509581	1.27735955972995E-21
3.1622776601683795	1.2772089471521207E-21
3.9810717055349736	1.2773904962803946E-21
5.0118723362727255	1.2771741047652895E-21
6.3095734448019325	1.276337347118572E-21
7.943282347242818	1.2794924745887691E-21
10.0	1.277213872027622E-21
12.589254117941676	1.2811319260874424E-21
15.848931924611142	1.2722176927451127E-21
19.952623149688808	1.2745094634150805E-21
25.118864315095827	1.2772404349957689E-21
31.6227766016838	1.2781214788436879E-21
39.810717055349734	1.2836036492858421E-21
50.118723362727245	1.3034276317065854E-21
63.09573444801937	1.2693791838571833E-21
79.43282347242823	1.2817039180868668E-21
100.0	1.2581485487290924E-21
125.89254117941675	1.298627222671246E-21
158.4893192461114	1.2495773270059445E-21
199.5262314968881	1.3866759813555386E-21
251.18864315095823	1.4475678736375734E-21
316.22776601683796	1.4863211674039975E-21
398.1071705534974	1.3834914115192192E-21
501.1872336272726	1.4616054156560333E-21
