# EMSIM OUTPUT FILE 
# PARAMETERS OF SIMULATION RUN 
# ---------------------------- 
# Mode               : 7 
# Magnetic field?      false
# Failing field?       false
# Point charge?        false
# Electric field?      false
# Magnetic strength  : 1.0E-7T 
# Electric strength  : 1.0E-7NC^-1 
# Phase              : 0.3141592653589793
# Algorithm          : 3
# Time-step          : 1.0E-5s 
# Number of Turns    : 100.0
# Number of particles: 1
# Spread in x        : 0.0m 
# Spread in y        : 0.0m 
# Spread in z        : 0.0m 
# ----------------------------- 
i 	 deltaKE 
1	1.0742436559583573E-27
2	2.0347522586963604E-27
3	2.795638520088026E-27
4	3.282617287303273E-27
5	3.44666761759636E-27
6	3.277193435155608E-27
7	2.785373445672871E-27
8	2.02300792228537E-27
9	1.065869649609938E-27
10	8.015935111808913E-29
11	1.1585465660547269E-27
12	2.1186983757577955E-27
13	2.29583247185389E-27
14	1.655408377554717E-27
15	3.3604471652810355E-27
16	3.279380355910766E-27
17	3.121795708285156E-27
18	1.9454271009472934E-27
19	1.8337643951469426E-27
20	7.824494177197555E-29
